idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
32,6.383711368005849,2.1071588013159914,0.07128500938415527,0.005239009857177734,0.0002338886260986328,0.009846556973176825,0.056380043101824234,0.002919478953177472,0.01972182208472643,0.014256948922717585,0.0660833336475277,0.009151935577392578,0.2383342189127695,1.2677107788472082,0.30831882784056575
33,5.636150891379594,1.6079001961252244,0.08653426170349121,0.005342006683349609,0.0002570152282714844,0.007344859311879894,0.04268192692661104,0.00399295402941642,0.017685993611238855,0.011830947891594425,0.052184508380948506,0.004654884338378906,0.23067477754449023,0.8497522296813077,0.32383078809317745
34,0.40509656222260015,1.8734347784647247,0.11360311508178711,0.0052967071533203125,0.0002720355987548828,0.003924179917562526,0.05536567248409417,0.055477964058089316,0.07453678718103139,0.008144681210233854,0.06275764140118474,0.007171630859375,0.3101832819990143,1.1507041865281535,0.43890756616004534
35,2.224388260913339,1.8170572874492723,0.08308601379394531,0.0054128170013427734,0.0002512931823730469,0.009570353600863692,0.016760579556736738,0.0028404103478095167,0.009706891831238743,0.014178241943459523,0.02384063913689362,0.007316112518310547,0.24993716560002566,1.2470266974581194,0.3843363408738274
36,8.548690425354845,1.4678789717306815,0.08727812767028809,0.0050008296966552734,0.00024819374084472656,0.009463337512969357,0.06655789918815858,0.008070594364287436,0.031129715456589272,0.016499019049235508,0.10065996224808063,0.005828142166137695,0.3221800786796972,0.8946485483449518,0.38439679108166686
37,0.6771971427217536,1.562767784043993,0.1264328956604004,0.005767107009887695,0.00024199485778808594,0.010904014196232312,0.04527246268581383,0.0041798375635104515,0.04732530960152938,0.015739089668382136,0.06053513066591028,0.006430864334106445,0.17799964400881843,0.9962024524203176,0.350668525274219
38,3.006578201890168,2.32383302945379,0.08591794967651367,0.005491018295288086,0.00023603439331054688,0.00818764008898472,0.019594878585467955,0.0017569662205830132,0.004972507864264491,0.01373596188871937,0.0227282155625267,0.004251003265380859,0.3757376492131924,1.4514561139206097,0.4845130529236432
39,5.614618308178656,2.567796418212827,0.08935976028442383,0.005474090576171875,0.0002357959747314453,0.01551852861452521,0.04715610122008794,0.0024232556926839705,0.007347021168115505,0.013314294577910247,0.06292748424315493,0.004868268966674805,0.47057302409134405,0.8830795733558978,0.6105058603013916
40,6.6767040492411365,1.812773722880141,0.07837605476379395,0.0060558319091796875,0.00023984909057617188,0.009943234841858578,0.0689337062797164,0.002759064666931704,0.01365277278608326,0.014465687592691663,0.08312169198964908,0.008122920989990234,0.32256199556563103,0.9224890986359012,0.4081440315934052
41,8.158801808193743,1.3339458398154078,0.08881092071533203,0.005071878433227539,0.0002391338348388672,0.011972211652217577,0.040595818610555244,0.00783049376413911,0.030577512214716024,0.018393216550505864,0.07352457898340438,0.004991054534912109,0.28735989754309066,0.9226604710882217,0.4145060859131308
42,0.3248495240252187,1.1800957215512835,0.28408002853393555,0.0065479278564453125,0.0002429485321044922,0.009692570971836258,0.028580063260111144,0.08205475862674161,0.05539321507726055,0.0178559624827873,0.05030542493362153,0.00899815559387207,0.12321463433963875,1.1113080891959233,0.38734393495050445
43,7.251357570904858,1.9237544605027748,0.0847940444946289,0.005337715148925781,0.00024008750915527344,0.003686368144677325,0.06633838156410071,0.013025435788860883,0.02495381986021775,0.006970023948383886,0.08060134113910947,0.006237030029296875,0.3314235790312524,0.9330673606363552,0.382545259772912
44,1.6965906124326577,2.002089550206727,0.09298276901245117,0.005530834197998047,0.0002338886260986328,0.004913095647545155,0.01746557233326428,0.027608288255597812,0.027638994497950365,0.009868169661350491,0.022659871622827267,0.006386280059814453,0.24249521546281208,1.9545343289156478,0.30516995066141683
45,1.6078898168603675,2.392640750155472,0.23042583465576172,0.006665945053100586,0.00025391578674316406,0.005205278463304629,0.032225432783651614,0.004787107237048369,0.009100992315596938,0.005852907374921026,0.03449400851898116,0.005716085433959961,0.3960951778132675,2.245172505743304,0.5120688908908967
46,4.516947128182904,1.762042452192965,0.09415912628173828,0.005522012710571289,0.0002391338348388672,0.011754485098305407,0.031600771661677504,0.003073041110114408,0.010188376740831805,0.014575116645028315,0.046757441858310704,0.0069980621337890625,0.26641003943873104,0.8976055573619504,0.37650512371853767
47,3.084969682563978,2.260565186237777,0.08321166038513184,0.005090951919555664,0.00024175643920898438,0.012754955427174069,0.019563907061812456,0.011097908321030438,0.009874072310017433,0.015259314511082468,0.027660768430755517,0.008128166198730469,0.3413974129327043,1.402818501520386,0.4294517045047264
48,3.6819448444785654,1.175299838632202,0.1408839225769043,0.006304025650024414,0.0002338886260986328,0.010149028609571193,0.027063468029067353,0.010955689066436737,0.0322177663487515,0.019576887789297445,0.055248107837739834,0.006945610046386719,0.19854076667463655,0.9248102137715867,0.3717888890163134
